Absidia	Fungi,Mucoromycota
Acanthamoeba	Amoebozoa,Discosea
Acanthoeca	Opisthokonta,Choanoflagellida
Acetobacteraceae	Alphaproteobacteria
Acetohalobium	Firmicutes
Acidianus	Archaea,Crenarchaeota
Acidiferrobacter	Gammaproteobacteria
Acidihalobacter	Gammaproteobacteria
Acidimicrobiia	Actinobacteria
Acidimicrobium	Actinobacteria
Acidithiobacillales	Acidithiobacillia
Acidithiobacillus	Acidithiobacillia
Acidithrix	Actinobacteria
Actinobacillus	Gammaproteobacteria
Actinobacteria	Actinobacteria
actinobacterium	Actinobacteria
Actinoplanes	Actinobacteria
Aduncisulcus	Excavata,Fornicata,Carpediemonas-like
Aerococcus	Firmicutes
Aestuariispira	Alphaproteobacteria
Achromatium	Gammaproteobacteria
Albugo	Stramenopiles,Oomycetes
Alexandrium	Dinophyceae,Gonyaulacales
Alkalispirochaeta	Spirochaetes
Allomyces	Fungi,Blastocladiomycota
Alphaproteobacteria	Alphaproteobacteria
Alternaria	Fungi,Ascomycota
Amborella	Viridiplantae,Streptophyta
Ammonia	Rhizaria,Foraminifera
Amorphochlora	Rhizaria,Cercozoa,Chlorarachniophyceae
Amphidinium	Dinophyceae,Gymnodiniales
Anabaena	Cyanobacteria
Anaeromusa	Firmicutes
Anaeromyxobacter	Deltaproteobacteria
Aneurinibacillus	Firmicutes
Angomonas	Euglenozoa,Kinetoplastida
Anolis	Metazoa,Bilateria
Anoxybacillus	Firmicutes
Anoxybacter	Firmicutes
Aphanomyces	Stramenopiles,Oomycetes
Aplanochytrium	Stramenopiles,Labyrinthulomycetes
Aquitalea	Betaproteobacteria
Arabidopsis	Viridiplantae,Streptophyta
Arenimonas	Gammaproteobacteria
Arhodomonas	Gammaproteobacteria
Archaeoglobus	Archaea,Euryarchaeota
Aspergillus	Fungi,Ascomycota
Aurantiochytrium	Stramenopiles,Labyrinthulomycetes
Aureococcus	Stramenopiles,Pelagophyceae
Aureoumbra	Stramenopiles,Pelagophyceae
Azoarcus	Betaproteobacteria
Azospirillum	Alphaproteobacteria
Babesia	Apicomplexa,Piroplasmida
Bacillus	Firmicutes
Bacteroides	Bacteroidetes
Bathycoccus	Viridiplantae,Chlorophyta,prasinophytes
Beggiatoa	Gammaproteobacteria
Beta	Viridiplantae,Streptophyta
Betaproteobacteria	Betaproteobacteria
Bicosoecida	Stramenopiles,Bicosoecida
Bigelowiella	Rhizaria,Cercozoa,Chlorarachniophyceae
Bilophila	Deltaproteobacteria
Bipolaris	Fungi,Ascomycota
Blastococcus	Actinobacteria
Blastocystis	Stramenopiles
Blastomonas	Alphaproteobacteria
Blastopirellula	Planctomycetes
Blattamonas	Excavata,Preaxostyla
Bodo	Euglenozoa,Kinetoplastida
Bolidomonas	Stramenopiles,Bolidophyceae
Botrytis	Fungi,Ascomycota
Burkholderia	Betaproteobacteria
Burkholderiales	Betaproteobacteria
Caballeronia	Betaproteobacteria
Caenispirillum	Alphaproteobacteria
Caenorhabditis	Metazoa,Bilateria
Cafeteria	Stramenopiles,Bicosoecida
Calcidiscus	Haptophyceae,Coccolithales
Caldivirga	Archaea,Crenarchaeota
Candidatus	unclassified
Capronia	Fungi,Ascomycota
Capsaspora	Opisthokonta,Ichthyosporea
Carpediemonas	Excavata,Fornicata,Carpediemonas-like
Catenaria	Fungi,Blastocladiomycota
Ceratium	Dinophyceae,Gonyaulacales
Climacostomum	Ciliophora,Heterotrichea
Clostridium	Firmicutes
Coccidioides	Fungi,Ascomycota
Colletotrichum	Fungi,Ascomycota
Comamonas	Betaproteobacteria
Compsopogon	Rhodophyta,Compsopogonophyceae
Coprinopsis	Fungi,Basidiomycota
Coprothermobacter	Coprothermobacteria
Crenobacter	Betaproteobacteria
Crocosphaera	Cyanobacteria
Crypthecodinium	Dinophyceae,Gonyaulacales
Cryptococcus	Fungi,Basidiomycota
Cryptomonas	Cryptophyta,Cryptomonadales
Cryptosporidium	Apicomplexa,Coccidia
Cupriavidus	Betaproteobacteria
Curvibacter	Betaproteobacteria
Cyanidioschyzon	Rhodophyta,Bangiophyceae
Cyanophora	Glaucocystophyceae
Cyanoptyche	Glaucocystophyceae
Cyanothece	Cyanobacteria
Cycloclasticus	Gammaproteobacteria
Cylindrotheca	Stramenopiles,Bacillariophyta
Cyphellophora	Fungi,Ascomycota
Daphnia	Metazoa,Bilateria
Debaryomyces	Fungi,Ascomycota
Deferribacter	Deferribacteres
Deltaproteobacteria	Deltaproteobacteria
Desulfocapsa	Deltaproteobacteria
Desulfoluna	Deltaproteobacteria
Desulfotomaculum	Firmicutes
Desulfovibrio	Deltaproteobacteria
Desulfovibrionaceae	Deltaproteobacteria
Dethiosulfovibrio	Synergistetes
Detonula	Stramenopiles,Bacillariophyta
Dickeya	Gammaproteobacteria
Dictyocha	Stramenopiles,Dictyochophyceae
Dictyostelium	Amoebozoa,Mycetozoa
Dichomitus	Fungi,Basidiomycota
Dinobryon	Stramenopiles,Chrysophyceae
Dinophysis	Dinophyceae,Dinophysiales
Diplodia	Fungi,Ascomycota
Ditylum	Stramenopiles,Bacillariophyta
Dokdonella	Gammaproteobacteria
Dongia	Alphaproteobacteria
Draconibacterium	Bacteroidetes
Dunaliella	Viridiplantae,Chlorophyta,Chlorophyceae
Durinskia	Dinophyta
Dyella	Gammaproteobacteria
Dysnectes	Excavata,Fornicata,Carpediemonas-like
Ectocarpus	Stramenopiles,PX clade
Eilatimonas	Alphaproteobacteria
Eimeria	Apicomplexa,Coccidia
Elphidium	Rhizaria,Foraminifera
Elstera	Alphaproteobacteria
Emiliania	Haptophyceae,Isochrysidales
Enhygromyxa	Deltaproteobacteria
Entamoeba	Amoebozoa,Archamoebae
Enterobacter	Gammaproteobacteria
Enterovibrio	Gammaproteobacteria
Ergobibamus	Excavata,Fornicata,Carpediemonas-like
Erinaceus	Metazoa,Bilateria
Erythranthe	Viridiplantae,Streptophyta
Erythrolobus	Rhodophyta,Bangiophyceae
Escherichia	Gammaproteobacteria
Eucalyptus	Viridiplantae,Streptophyta
Euglena	Euglenozoa,Euglenida
Eutreptiella	Euglenozoa,Euglenida
Exanthemachrysis	Haptophyceae,Pavlovales
Exophiala	Fungi,Ascomycota
Exserohilum	Fungi,Ascomycota
Extubocellulus	Stramenopiles,Bacillariophyta
Ferrimicrobium	Actinobacteria
Ferrimonas	Gammaproteobacteria
